names,product_subclass,webpage
Dermomed Iris Κρεμοσάπουνο 1000ml,"Articles for personal hygiene and wellness, esoteric products and beauty products",kremosapouna
Colgate Max White Crystal Mint 75ml 1+1 Δώρο,"Articles for personal hygiene and wellness, esoteric products and beauty products",odontokremes
Colgate Extra Clean Οδοντόβουρτσα Medium 1Τεμ,Non-electrical appliances,odontovourtses
Listerine Naturals Enamel Protect 500ml 1+1,"Articles for personal hygiene and wellness, esoteric products and beauty products",dialymata
Jordan Dental Sticks Clean Between Regular 40Τεμ,Non-electrical appliances,diafora-eidi-stomatikis-ygieinis
Gillette Blue Ii Plus Slalom Ξυραφάκια 10Τεμ,"Articles for personal hygiene and wellness, esoteric products and beauty products",xyrafakia
Gillette Original Αφρός Ξυρισματος 200ml,"Articles for personal hygiene and wellness, esoteric products and beauty products",afroi-xyrismatos-after-shave
Nivea Men Fresh Kick After Shave Balm 100ml,"Articles for personal hygiene and wellness, esoteric products and beauty products",afroi-xyrismatos-after-shave
Always Ultra Secure Night 12Τεμ,"Articles for personal hygiene and wellness, esoteric products and beauty products",servietes-panes-akrateias
Kopparberg Strawberry & Lime Cider 500ml,Spirits and liqueurs,militis
Somersby Apple Cider 330ml,Spirits and liqueurs,militis
Κεο Vsop Brandy 1L,Spirits and liqueurs,diafora-alkooloucha
Gordons Dry Gin 700ml,Spirits and liqueurs,diafora-alkooloucha
Baileys Original Liqueur 700ml,Spirits and liqueurs,diafora-alkooloucha
Aperol Aperitivo 1L,Spirits and liqueurs,diafora-alkooloucha
Bacardi Superior Rum 700ml,Spirits and liqueurs,diafora-alkooloucha
Κεο 8X330ml,Lager beer,mpyres
Carlsberg 8X330ml,Lager beer,mpyres
Κεο Λευκό Ξηρό Κρασί 1L,Wine from grapes,krasia
Mateus Rose Κρασί 750ml,Wine from grapes,krasia
Κεο Ερυθρό Ξηρό Κρασί 1L,Wine from grapes,krasia
Nescafe Classic 200g,Coffee,kafes
Nescafe Classic 100g,Coffee,kafes
Jacobs Gold Επιλεγμένο Χαρμάνι 100g,Coffee,kafes
Jacobs Εκλεκτός 100g,Coffee,kafes
Celest Cafe Classic 200g,Coffee,kafes
Nescafe Azera Espresso 100g,Coffee,kafes
Douwe Egberts Καφές Espresso 185g,Coffee,kafes
Λαϊκού Κυπριακός Καφές Χρυσός 200g,Coffee,kafes
Χαραλάμπους Κυπριακός Καφές 200g,Coffee,kafes
Λαϊκού Κυπριακός Καφές Χρυσός 500g,Coffee,kafes
Χαραλάμπους Κυπριακός Καφές 500g,Coffee,kafes
Lipton Yellow Label Τσάι 20Τεμ,Tea,mavro-tsai
Ahmad Tea Πράσινο Τσάι 25Τεμ,Tea,prasino-tsai
Natural Life Τσάι Χαμομήλι 20Τεμ,Tea,afepsimata
Ahmad Tea Αγγλικό Πρόγευμα 20Τεμ,Tea,tsai-diafora
Cadbury Ρόφημα Σοκολάτας 500g,Cocoa and powdered chocolate,sokolata-kakao
Cadbury Κακάο 125g,Cocoa and powdered chocolate,sokolata-kakao
"Άγιος Νικόλαος 6X1,5L",Mineral or spring waters,nero
Peric Νερό Αγρού 12Χ500ml,Mineral or spring waters,nero
"Peric Νερό Αγρού 6Χ1,5L",Mineral or spring waters,nero
Άγιος Νικόλαος 12X500ml,Mineral or spring waters,nero
Κύκκος 12Χ500ml,Mineral or spring waters,nero
"Κύκκος 6Χ1,5L",Mineral or spring waters,nero
Kean Χυμός Πορτοκάλι 1L,Fruit and vegetable juices,chymoi
Λανίτης Χυμός Πορτοκάλι Χωρίς Κομματάκια 1L,Fruit and vegetable juices,chymoi
Κεανίτα Χυμός Πορτοκάλι 9X250ml,Fruit and vegetable juices,chymoi
Κεο Χυμός Πορτοκάλι 1L,Fruit and vegetable juices,chymoi
Λοέλ Πορτοκάλι 100% Χυμός 1L,Fruit and vegetable juices,chymoi
Kean Χυμός Μήλο 9X250ml,Fruit and vegetable juices,chymoi
Kean Χυμός Μήλο 1L,Fruit and vegetable juices,chymoi
Λανίτης Χυμός Μήλο 1L,Fruit and vegetable juices,chymoi
Κεο Χυμός Μήλο 1L,Fruit and vegetable juices,chymoi
Tropicana Delight Μήλο Φρουτοποτό 1L,Fruit and vegetable juices,chymoi
Strike Φρουτοποτό Μήλο 1L,Fruit and vegetable juices,chymoi-milo
Kean Χυμός 5 Φρούτα 1L,Fruit and vegetable juices,chymoi
Kean Χυμός Πορτοκάλι Μήλο & Καρότο 1L,Fruit and vegetable juices,chymoi
Kean Χυμός Ντομάτας 1L,Fruit and vegetable juices,chymoi
Κεο Χυμός Τομάτα 1L,Fruit and vegetable juices,chymoi
Coca Cola 8X330ml,Soft drinks,anapsyktika
Sprite 6X330ml,Soft drinks,anapsyktika
Schweppes Pink Grapefruit 6X330ml,Soft drinks,anapsyktika
Fanta 6X330ml,Soft drinks,anapsyktika
Pepsi Max 8X330ml,Soft drinks,anapsyktika
7Up 8X330ml,Soft drinks,anapsyktika
Schweppes Lemonade 6X330ml,Soft drinks,anapsyktika
Regis Παγωτό Agrino Χωνάκια Βανίλια Σοκολάτα 4Χ135ml,Edible ices and ice cream,pagota
"Παπαφιλίπου N-ice Παγάκια 4,5kg",Edible ices and ice cream,pagakia
"Παπαφιλίπου N-ice Παγάκια 2,7kg",Edible ices and ice cream,pagakia
"Παπαφιλίπου N-ice Παγάκια 1,5kg",Edible ices and ice cream,pagakia
7Seas Φασόλια Ξεκούνια Άσπρα 900g,Frozen vegetables other than potatoes and other tubers,ospria-1
7Seas Ανάμικτα Μπρόκολο Καρότο Κουνουπίδι 900g,Frozen vegetables other than potatoes and other tubers,lachanika
7Seas Μπιζέλι 900g,Frozen vegetables other than potatoes and other tubers,lachanika-frouta
7Seas Ανάμικτα Μπιζέλι Καρότο Αγκινάρες 900g,Frozen vegetables other than potatoes and other tubers,lachanika-frouta
Πιπεριές Χρωματιστές 4Τεμ,Frozen vegetables other than potatoes and other tubers,freska-lachanika
Findus Σολωμός Φιλέτο 500g,Frozen fish,eidi-ichthyopoleiou
Foodpax Φιλέτο Μπαρμπούνι Ειρηνικού 400g,Frozen fish,eidi-ichthyopoleiou
Gelus Steaks Μπακαλιάρου 900g,Frozen fish,eidi-ichthyopoleiou
7Seas Μαρίδα 950g,Frozen Fish,eidi-ichthyopoleiou
7Seas Γόππα 900g,Frozen Fish,eidi-ichthyopoleiou
Blue Green Wave Χταπόδια Ολόκληρα Καθαρισμένα 1kg,Frozen seafood,eidi-ichthyopoleiou
Foodpax Μικρό Χταπόδι Ινδοειρηνικού Καθαρισμένο 400g,Frozen Seafood,eidi-ichthyopoleiou
Redda Θράψαλα Ειρηνικού Ροδέλες 1kg,Frozen Seafood,eidi-ichthyopoleiou
Blue Green Wave Καλαμάρι Ροδέλες 1kg,Frozen Seafood,eidi-ichthyopoleiou
Edesma Καβουρόψιχα 250g,Frozen Seafood,eidi-ichthyopoleiou
Birds Eye Breaded Cod Large Fillets 4Τεμ,Frozen seafood,apo-thalassina
Nordsea Τραγανιστά Φιλέτα Ψαριού 4Τεμ 300g,Frozen Seafood,apo-thalassina
Regina Μακαρόνια Παστίτσιο 425g,Ready-made meals,etoima-gevmata
Regina Μουσακάς 425g,Ready-made meals,etoima-gevmata
Regina Κανελόνια 400g,Ready-made meals,etoima-gevmata
Edesma Μπουκιές Κοτόπουλο 900g,Other meat preparations,etoima-gevmata-snak
Γρηγορίου Μπιφτέκια Γαλοπούλας 6Τεμ 480g,Other meat preparations,mpiftekia
Γρηγορίου Μπιφτέκια Βοδινά 4Τεμ 600g,Other meat preparations,mpiftekia
Μιτσίδη Ραβιόλες 375g,Pasta products and couscous,zymarika-1
Regina Πίτσα Πεπερόνι 1Τεμ 300g,Pizza and quiche,pitses
Buitoni Piccolinis Prosciutto 9x30g,Pizza and quiche,pitses
Regina Πίτσα Σπέσιαλ 1Τεμ 330g,Pizza and quiche,pitses
Regina Πίτσα Τυρί & Ντομάτα 1Τεμ 300g,Pizza and quiche,pitses
Ecofrost French Fries Πατάτες 1kg,Crisps,klasikes
Χαραλαμπίδης Κρίστης Ραβιόλες Με Πισσουρκώτικο Χαλλούμι 400g,Pasta products and couscous,zymarika-1
Hercules Ραβιόλες Με Χαλλούμι & Αναρή 400g,Pasta products and couscous,zymarika-1
Redda Γαρίδες Vannamei Αποφλοιωμένες Προβρασμένες 500g,Frozen Seafood,eidi-ichthyopoleiou
Fish Choice Σολομός Ειρηνικού Μερίδες 500g,Frozen Fish,eidi-ichthyopoleiou
7Seas Κοκκινόψαρο Ακέφαλο 900g,Frozen Fish,eidi-ichthyopoleiou
Σολωμός Φρέσκος 2Τεμ Max 600g,Frozen Fish,psaria
Blue Green Wave Γλώσσα Φιλέτο 800g,Frozen Fish,eidi-ichthyopoleiou
7Seas Ψάρι Φιλέτο Με Καπήρα 400g,Frozen Seafood,apo-thalassina
Nordsea Fish Sticks 10Τεμ 300g,Frozen Seafood,apo-thalassina
Edesma Μπουκιές Κοτόπουλου 24Τεμ 500g,Other meat preparations,apo-kreatika
Bgw Σνίτσελ Κοτόπουλου 400g,Other meat preparations,apo-kreatika
Κιτρομηλίδη Σπιτο Γεύματα Κεφτέδες 500g,Other meat preparations,etoima-gevmata
7Seas Κοτομπουκιές Πανέ 900g,Other meat preparations,apo-kreatika
Nescafe Classic Decaf 100g,Coffee,kafes
Nescafe Gold Blend Roastery Collection Dark Roast 95g,Coffee,kafes
7Up Free 8X330ml,Soft drinks,anapsyktika
Coca Cola Zero 8X330ml,Soft drinks,anapsyktika
"Άγιος Νικόλαος 6X1,5L",Mineral or spring waters,nero
Kean Χυμός Μάνγκο Ρόδι 1L,Fruit and vegetable juices,chymoi
Σίφουνας Ψωμί Φέτες Τόστ Άσπρο Μεγάλο 925g,bread,tost
Σίφουνας Ψωμί Φέτες Τόστ Άσπρο Μικρό 700g,bread,tost
Σίφουνας Ψωμί Φέτες Τόστ Μαύρο Πιτυρούχο Μεγάλο 700g,bread,tost
Σίφουνας Ψωμί Φέτες Τόστ Πολύσπορο Μικρό 1Τεμ,bread,tost
Etosha Κάρβουνα 5kg,Coal,eidi-psistarias
Πυρσός Κάρβουνα 5kg,Coal,eidi-psistarias
"Εύρηκα Μασσαλίας Ylang Ylang & Λεβάντα Υγρό 48 Πλύσεις 2,4L -4€",Cleaning and maintenance products,ygra-plyntiriou
Comfort Gold Lilies & Wild Berries Μαλακτικό Ρούχων 4L,Cleaning and maintenance products,malaktika-1
Comfort Gold Wild Orchid & Sandalwood Μαλακτικό Ρούχων 4L,Cleaning and maintenance products,malaktika-1
Comfort Pure Μαλακτικό Ρούχων 4L,Cleaning and maintenance products,malaktika-1
Always Ultra Long Με Φτερά 16Τεμ,"Articles for personal hygiene and wellness, esoteric products and beauty products",servietes-panes-akrateias
Always Dailies Normal To Go 20Τεμ,"Articles for personal hygiene and wellness, esoteric products and beauty products",servietes-panes-akrateias
Every Day Hyperdry Normal Ultra Plus 18Τεμ 1+1,"Articles for personal hygiene and wellness, esoteric products and beauty products",servietes-panes-akrateias
Elite Χαρτοπετσέτες Πολυτελείας Μπλε 3Φύλλα 40X40cm 25Τεμ,"Articles for personal hygiene and wellness, esoteric products and beauty products",chartopetsetes
Kleenex Scottonelle Pure Clean Double Roll Χαρτί Τουαλέτας 16Τεμ -2€,"Articles for personal hygiene and wellness, esoteric products and beauty products",charti-toualetas
Elda Χαρτί Τουαλέτας 24Τεμ,"Articles for personal hygiene and wellness, esoteric products and beauty products",charti-toualetas
Nannys Sensitive Chamomile 5 Junior 44Τεμ,Baby Care,panes
Nannys Sensitive 6 Junior Plus 40Τεμ,Baby Care,panes
Nannys Sensitive 3 Midi 56Τεμ,Baby Care,panes
Pampers Active Baby 7 40Τεμ,Baby Care,panes
Pampers Premium Care 1 52Τεμ,Baby Care,panes
Hipp Organic Baby Cereal 100% Ρυζάλευρο 200g,Baby food,vrefikes-kremes
Nestle Φαρίν Λακτέ Με Γάλα 300g,Baby food,vrefikes-kremes
Νουνού Φρουτόκρεμα 5 Φρούτα & Γάλα 300g -0.20€,Baby food,vrefikes-kremes
Humana Φαρίν Λακτέ Χωρίς Προσθήκη Ζάχαρης 200g,Baby food,vrefikes-kremes
"Γιώτης Φαρίν Λακτέ 300g -0,50€",Baby food,vrefikes-kremes
Νουνού Frisogrow 3 800g,Baby food,vrefiko-gala
Νουνού Frisogrow Plus+ 4 800g,Baby food,vrefiko-gala
Nan Optipro HM- 0 4 400g,Baby food,vrefiko-gala
S 26 Progress Gold 3 400g,Baby food,vrefiko-gala
Edesma Μπιφτέκια Λαχανικών 4Τεμ,Ready-made meals,apo-lachanika
Γρηγορίου Μπιφτέκια 6Τεμ 480g,Other meat preparations,mpiftekia
Kyprianou Μπιφτέκια Κοτόπουλου 6Τεμ 700g,Other meat preparations,mpiftekia
